{'g1': 34, 'g2': 0, 'g3': 86, 'g4': 298, 'g5': 531, 'g6': 599}
{'g1': 2, 'g2': 0, 'g3': 0, 'g4': 591, 'g5': 1000, 'g6': 1000}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 996, 'g5': 996, 'g6': 63}
{'g1': 0, 'g2': 0, 'g3': 71, 'g4': 862, 'g5': 465, 'g6': 201}
{'g1': 0, 'g2': 43, 'g3': 0, 'g4': 996, 'g5': 824, 'g6': 574}
{'g1': 340, 'g2': 0, 'g3': 0, 'g4': 993, 'g5': 999, 'g6': 670}
{'g1': 110, 'g2': 0, 'g3': 0, 'g4': 684, 'g5': 606, 'g6': 606}
{'g1': 0, 'g2': 791, 'g3': 0, 'g4': 967, 'g5': 898, 'g6': 892}
{'g1': 82, 'g2': 0, 'g3': 0, 'g4': 993, 'g5': 993, 'g6': 937}
{'g1': 0, 'g2': 0, 'g3': 2, 'g4': 488, 'g5': 344, 'g6': 671}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 741, 'g5': 676, 'g6': 995}
{'g1': 106, 'g2': 22, 'g3': 0, 'g4': 463, 'g5': 859, 'g6': 888}
{'g1': 230, 'g2': 992, 'g3': 0, 'g4': 944, 'g5': 998, 'g6': 998}
{'g1': 0, 'g2': 789, 'g3': 72, 'g4': 789, 'g5': 919, 'g6': 801}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 563, 'g5': 993, 'g6': 218}
{'g1': 172, 'g2': 0, 'g3': 0, 'g4': 999, 'g5': 999, 'g6': 980}
{'g1': 0, 'g2': 676, 'g3': 17, 'g4': 741, 'g5': 377, 'g6': 782}
{'g1': 0, 'g2': 91, 'g3': 0, 'g4': 996, 'g5': 492, 'g6': 996}
{'g1': 191, 'g2': 191, 'g3': 76, 'g4': 812, 'g5': 812, 'g6': 756}
{'g1': 0, 'g2': 340, 'g3': 0, 'g4': 295, 'g5': 63, 'g6': 1000}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 994, 'g5': 475, 'g6': 994}
{'g1': 0, 'g2': 610, 'g3': 0, 'g4': 343, 'g5': 405, 'g6': 890}
{'g1': 0, 'g2': 818, 'g3': 0, 'g4': 986, 'g5': 755, 'g6': 986}
{'g1': 0, 'g2': 600, 'g3': 0, 'g4': 801, 'g5': 270, 'g6': 878}
{'g1': 30, 'g2': 886, 'g3': 0, 'g4': 999, 'g5': 990, 'g6': 999}
{'g1': 0, 'g2': 996, 'g3': 0, 'g4': 997, 'g5': 997, 'g6': 996}
{'g1': 92, 'g2': 268, 'g3': 268, 'g4': 826, 'g5': 284, 'g6': 915}
{'g1': 170, 'g2': 10, 'g3': 0, 'g4': 999, 'g5': 509, 'g6': 999}
{'g1': 0, 'g2': 23, 'g3': 61, 'g4': 999, 'g5': 406, 'g6': 999}
{'g1': 25, 'g2': 0, 'g3': 59, 'g4': 583, 'g5': 411, 'g6': 145}
{'g1': 224, 'g2': 164, 'g3': 0, 'g4': 999, 'g5': 999, 'g6': 898}
{'g1': 136, 'g2': 216, 'g3': 23, 'g4': 776, 'g5': 849, 'g6': 855}
{'g1': 0, 'g2': 691, 'g3': 0, 'g4': 47, 'g5': 649, 'g6': 961}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 428, 'g5': 344, 'g6': 856}
{'g1': 0, 'g2': 575, 'g3': 0, 'g4': 530, 'g5': 320, 'g6': 696}
{'g1': 0, 'g2': 996, 'g3': 0, 'g4': 0, 'g5': 336, 'g6': 996}
{'g1': 0, 'g2': 1000, 'g3': 29, 'g4': 999, 'g5': 1000, 'g6': 1000}
{'g1': 91, 'g2': 83, 'g3': 79, 'g4': 659, 'g5': 601, 'g6': 654}
{'g1': 24, 'g2': 0, 'g3': 0, 'g4': 991, 'g5': 991, 'g6': 991}
{'g1': 0, 'g2': 582, 'g3': 176, 'g4': 919, 'g5': 919, 'g6': 979}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 606, 'g5': 383, 'g6': 941}
{'g1': 0, 'g2': 892, 'g3': 0, 'g4': 992, 'g5': 992, 'g6': 992}
{'g1': 10, 'g2': 0, 'g3': 147, 'g4': 999, 'g5': 999, 'g6': 999}
{'g1': 0, 'g2': 0, 'g3': 56, 'g4': 341, 'g5': 615, 'g6': 787}
{'g1': 201, 'g2': 0, 'g3': 0, 'g4': 874, 'g5': 995, 'g6': 998}
{'g1': 0, 'g2': 340, 'g3': 231, 'g4': 999, 'g5': 999, 'g6': 999}
{'g1': 0, 'g2': 0, 'g3': 276, 'g4': 444, 'g5': 601, 'g6': 995}
{'g1': 0, 'g2': 104, 'g3': 0, 'g4': 261, 'g5': 753, 'g6': 987}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 267, 'g5': 866, 'g6': 962}
{'g1': 0, 'g2': 340, 'g3': 0, 'g4': 568, 'g5': 515, 'g6': 995}
{'g1': 343, 'g2': 0, 'g3': 0, 'g4': 997, 'g5': 976, 'g6': 997}
{'g1': 4, 'g2': 222, 'g3': 0, 'g4': 674, 'g5': 483, 'g6': 734}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 890, 'g5': 980, 'g6': 880}
{'g1': 91, 'g2': 111, 'g3': 0, 'g4': 727, 'g5': 999, 'g6': 999}
{'g1': 8, 'g2': 0, 'g3': 198, 'g4': 624, 'g5': 712, 'g6': 894}
{'g1': 275, 'g2': 505, 'g3': 0, 'g4': 1000, 'g5': 1000, 'g6': 1000}
